,Day,group1,group2,p_value
483,27-Oct,control restriction,control ad lib,0.023358766474108537
484,27-Oct,control restriction,HFHS ad lib,0.00044719374476459
485,27-Oct,control restriction,HFHS restriction,0.0002047300544265788
486,27-Oct,HFHS ad lib,control ad lib,0.030300984856003035
487,27-Oct,HFHS ad lib,control restriction,0.00044719374476459
488,27-Oct,HFHS ad lib,HFHS restriction,0.4616474850574333
489,27-Oct,HFHS restriction,control ad lib,0.03184488756831434
490,27-Oct,HFHS restriction,control restriction,0.0002047300544265788
491,27-Oct,HFHS restriction,HFHS ad lib,0.4616474850574333
492,28-Oct,control ad lib,control restriction,0.046614295251386724
493,28-Oct,control ad lib,HFHS ad lib,0.03358607109209311
494,28-Oct,control ad lib,HFHS restriction,0.02596879786197251
495,28-Oct,control restriction,control ad lib,0.046614295251386724
496,28-Oct,control restriction,HFHS ad lib,0.0012183674044945047
497,28-Oct,control restriction,HFHS restriction,0.0004614374988130994
498,28-Oct,HFHS ad lib,control ad lib,0.03358607109209311
499,28-Oct,HFHS ad lib,control restriction,0.0012183674044945047
500,28-Oct,HFHS ad lib,HFHS restriction,0.40494706521423735
501,28-Oct,HFHS restriction,control ad lib,0.02596879786197251
502,28-Oct,HFHS restriction,control restriction,0.0004614374988130994
503,28-Oct,HFHS restriction,HFHS ad lib,0.40494706521423735
504,29-Oct,control ad lib,control restriction,0.021023797120357107
505,29-Oct,control ad lib,HFHS ad lib,0.05072814845056062
506,29-Oct,control ad lib,HFHS restriction,0.07853034034056054
507,29-Oct,control restriction,control ad lib,0.021023797120357107
508,29-Oct,control restriction,HFHS ad lib,0.0008763194415073017
509,29-Oct,control restriction,HFHS restriction,0.000850621287005042
510,29-Oct,HFHS ad lib,control ad lib,0.05072814845056062
511,29-Oct,HFHS ad lib,control restriction,0.0008763194415073017
512,29-Oct,HFHS ad lib,HFHS restriction,0.33250277105101456
513,29-Oct,HFHS restriction,control ad lib,0.07853034034056054
514,29-Oct,HFHS restriction,control restriction,0.000850621287005042
515,29-Oct,HFHS restriction,HFHS ad lib,0.33250277105101456
516,30-Oct,control ad lib,control restriction,0.009610533626632459
517,30-Oct,control ad lib,HFHS ad lib,0.030300984856003035
518,30-Oct,control ad lib,HFHS restriction,0.0385414440766041
519,30-Oct,control restriction,control ad lib,0.009610533626632459
520,30-Oct,control restriction,HFHS ad lib,0.0006330852714512845
521,30-Oct,control restriction,HFHS restriction,0.00028681675549428065
522,30-Oct,HFHS ad lib,control ad lib,0.030300984856003035
523,30-Oct,HFHS ad lib,control restriction,0.0006330852714512845
524,30-Oct,HFHS ad lib,HFHS restriction,0.31510890496963784
525,30-Oct,HFHS restriction,control ad lib,0.0385414440766041
526,30-Oct,HFHS restriction,control restriction,0.00028681675549428065
527,30-Oct,HFHS restriction,HFHS ad lib,0.31510890496963784
528,31-Oct,control ad lib,control restriction,0.010842055682495997
529,31-Oct,control ad lib,HFHS ad lib,0.029985664003555637
530,31-Oct,control ad lib,HFHS restriction,0.0610419323587186
531,31-Oct,control restriction,control ad lib,0.010842055682495997
532,31-Oct,control restriction,HFHS ad lib,0.0008763194415073017
533,31-Oct,control restriction,HFHS restriction,0.0005431233129110169
534,31-Oct,HFHS ad lib,control ad lib,0.029985664003555637
535,31-Oct,HFHS ad lib,control restriction,0.0008763194415073017
536,31-Oct,HFHS ad lib,HFHS restriction,0.29820770802572716
537,31-Oct,HFHS restriction,control ad lib,0.0610419323587186
538,31-Oct,HFHS restriction,control restriction,0.0005431233129110169
539,31-Oct,HFHS restriction,HFHS ad lib,0.29820770802572716
540,1-Nov,control ad lib,control restriction,0.017034597572071968
541,1-Nov,control ad lib,HFHS ad lib,0.06767680426786608
542,1-Nov,control ad lib,HFHS restriction,0.06605851082925941
543,1-Nov,control restriction,control ad lib,0.017034597572071968
544,1-Nov,control restriction,HFHS ad lib,0.0008706055909285653
545,1-Nov,control restriction,HFHS restriction,0.000850621287005042
546,1-Nov,HFHS ad lib,control ad lib,0.06767680426786608
547,1-Nov,HFHS ad lib,control restriction,0.0008706055909285653
548,1-Nov,HFHS ad lib,HFHS restriction,0.2979820249911048
549,1-Nov,HFHS restriction,control ad lib,0.06605851082925941
550,1-Nov,HFHS restriction,control restriction,0.000850621287005042
551,1-Nov,HFHS restriction,HFHS ad lib,0.2979820249911048
552,2-Nov,control ad lib,control restriction,0.02596879786197251
553,2-Nov,control ad lib,HFHS ad lib,0.09655520228259495
554,2-Nov,control ad lib,HFHS restriction,0.06625919659210724
555,2-Nov,control restriction,control ad lib,0.02596879786197251
556,2-Nov,control restriction,HFHS ad lib,0.0016684702536990444
